1,1,1,1,1,1,1
1,1,2,1,1,1,1
1,1,3,1,1,1,1
1,1,4,1,1,1,1
1,1,5,1,1,1,1
1,1,5,1,1,1,1
1,1,6,1,1,1,1
1,1,7,1,1,1,1
1,1,7,1,1,1,1
1,1,8,1,1,1,1
1,1,8,1,1,1,1
1,1,9,1,1,1,1
1,1,9,1,1,1,1
1,1,10,1,1,1,1
1,1,10,1,1,1,1
1,1,11,1,1,1,1
1,1,11,1,1,1,1
1,1,12,1,1,1,1
1,1,12,1,1,1,1
1,1,13,1,1,1,1
1,1,13,1,1,1,1
1,1,14,1,1,1,1
1,1,14,1,1,1,1
1,1,15,2,1,1,1
1,1,1,3,1,1,2
1,1,2,3,1,1,2
1,1,3,3,1,1,2
1,1,4,3,1,1,2
1,1,7,3,1,1,2
1,1,5,3,1,1,2
1,1,6,3,1,1,2
1,1,8,3,1,1,2
1,1,9,3,1,1,2
1,1,10,3,1,1,2
1,1,11,3,1,1,2
1,1,12,3,1,1,2
1,1,12,3,1,1,2
1,1,13,3,1,1,2
1,1,13,3,1,1,2
1,1,13,3,1,1,2
1,1,14,3,1,1,2
1,1,14,3,1,1,2
1,1,15,4,1,1,2
1,1,5,5,2,2,3
1,1,11,5,2,2,3
1,1,13,5,2,2,3
1,1,13,5,2,2,3
1,1,13,5,2,2,3
1,1,14,5,2,2,3
1,1,14,5,2,2,3
1,1,15,6,2,2,3
1,1,5,7,2,1,4
1,1,11,7,2,1,4
1,1,13,7,2,1,4
1,1,13,7,2,1,4
1,1,13,7,2,1,4
1,1,14,7,2,1,4
1,1,14,7,2,1,4
1,1,15,8,2,1,4
1,1,5,9,2,3,5
1,1,11,9,2,3,5
1,1,13,9,2,3,5
1,1,13,9,2,3,5
1,1,13,9,2,3,5
1,1,14,9,2,3,5
1,1,14,9,2,3,5
1,1,15,10,2,3,5
2,2,11,11,2,4,6
2,2,12,11,2,4,6
2,2,13,11,2,4,6
2,2,13,11,2,4,6
2,2,13,11,2,4,6
2,2,14,11,2,4,6
2,2,14,11,2,4,6
2,2,15,12,2,4,6
2,2,11,13,2,5,7
2,2,12,13,2,5,7
2,2,13,13,2,5,7
2,2,13,13,2,5,7
2,2,13,13,2,5,7
2,2,14,13,2,5,7
2,2,14,13,2,5,7
2,2,15,14,2,5,7
2,2,11,15,2,6,8
2,2,12,15,2,6,8
2,2,13,15,2,6,8
2,2,13,15,2,6,8
2,2,13,15,2,6,8
2,2,14,15,2,6,8
2,2,14,15,2,6,8
2,2,15,16,2,6,8
2,2,11,17,2,1,9
2,2,12,17,2,1,9
2,2,13,17,2,1,9
2,2,13,17,2,1,9
2,2,13,17,2,1,9
2,2,14,17,2,1,9
